地名,センター,燃えるごみ,燃えないごみ,資源物
堤,掛川市・菊川市衛生施設組合環境資源ギャラリー ,月 木,20160401 20160415 20160429 20160513 20160527 20160610 20160624 20160708 20160722 20160805 20160819 20160902 20160916 20160930 20161014 20161028 20161111 20161125 20161209 20161223 20160113 20160127 20160210 20160224 20160310 20160324,20160408 20160422 20160506 20160520 20160603 20160617 20160701 20160715 20160729 20160812 20160826 20160909 20160923 20161007 20161021 20161104 20161118 20161202 20161216 20160106 20160120 20160203 20160217 20160303 20160317 20160331
東嶺田,掛川市・菊川市衛生施設組合環境資源ギャラリー ,月 木,20160401 20160415 20160429 20160513 20160527 20160610 20160624 20160708 20160722 20160805 20160819 20160902 20160916 20160930 20161014 20161028 20161111 20161125 20161209 20161223 20160113 20160127 20160210 20160224 20160310 20160324,20160408 20160422 20160506 20160520 20160603 20160617 20160701 20160715 20160729 20160812 20160826 20160909 20160923 20161007 20161021 20161104 20161118 20161202 20161216 20160106 20160120 20160203 20160217 20160303 20160317 20160331
中嶺田,掛川市・菊川市衛生施設組合環境資源ギャラリー ,月 木,20160401 20160415 20160429 20160513 20160527 20160610 20160624 20160708 20160722 20160805 20160819 20160902 20160916 20160930 20161014 20161028 20161111 20161125 20161209 20161223 20160113 20160127 20160210 20160224 20160310 20160324,20160408 20160422 20160506 20160520 20160603 20160617 20160701 20160715 20160729 20160812 20160826 20160909 20160923 20161007 20161021 20161104 20161118 20161202 20161216 20160106 20160120 20160203 20160217 20160303 20160317 20160331
西嶺田,掛川市・菊川市衛生施設組合環境資源ギャラリー ,月 木,20160401 20160415 20160429 20160513 20160527 20160610 20160624 20160708 20160722 20160805 20160819 20160902 20160916 20160930 20161014 20161028 20161111 20161125 20161209 20161223 20160113 20160127 20160210 20160224 20160310 20160324,20160408 20160422 20160506 20160520 20160603 20160617 20160701 20160715 20160729 20160812 20160826 20160909 20160923 20161007 20161021 20161104 20161118 20161202 20161216 20160106 20160120 20160203 20160217 20160303 20160317 20160331
大石,掛川市・菊川市衛生施設組合環境資源ギャラリー ,月 木,20160401 20160415 20160429 20160513 20160527 20160610 20160624 20160708 20160722 20160805 20160819 20160902 20160916 20160930 20161014 20161028 20161111 20161125 20161209 20161223 20160113 20160127 20160210 20160224 20160310 20160324,20160408 20160422 20160506 20160520 20160603 20160617 20160701 20160715 20160729 20160812 20160826 20160909 20160923 20161007 20161021 20161104 20161118 20161202 20161216 20160106 20160120 20160203 20160217 20160303 20160317 20160331
西ヶ崎,掛川市・菊川市衛生施設組合環境資源ギャラリー ,月 木,20160401 20160415 20160429 20160513 20160527 20160610 20160624 20160708 20160722 20160805 20160819 20160902 20160916 20160930 20161014 20161028 20161111 20161125 20161209 20161223 20160113 20160127 20160210 20160224 20160310 20160324,20160408 20160422 20160506 20160520 20160603 20160617 20160701 20160715 20160729 20160812 20160826 20160909 20160923 20161007 20161021 20161104 20161118 20161202 20161216 20160106 20160120 20160203 20160217 20160303 20160317 20160331
堂山,掛川市・菊川市衛生施設組合環境資源ギャラリー ,月 木,20160401 20160415 20160429 20160513 20160527 20160610 20160624 20160708 20160722 20160805 20160819 20160902 20160916 20160930 20161014 20161028 20161111 20161125 20161209 20161223 20160113 20160127 20160210 20160224 20160310 20160324,20160408 20160422 20160506 20160520 20160603 20160617 20160701 20160715 20160729 20160812 20160826 20160909 20160923 20161007 20161021 20161104 20161118 20161202 20161216 20160106 20160120 20160203 20160217 20160303 20160317 20160331
布引原,掛川市・菊川市衛生施設組合環境資源ギャラリー ,月 木,20160401 20160415 20160429 20160513 20160527 20160610 20160624 20160708 20160722 20160805 20160819 20160902 20160916 20160930 20161014 20161028 20161111 20161125 20161209 20161223 20160113 20160127 20160210 20160224 20160310 20160324,20160413 20160427 20160511 20160525 20160608 20160622 20160706 20160720 20160803 20160817 20160831 20160914 20160928 20161012 20161026 20161109 20161123 20161207 20161221 20160111 20160125 20160208 20160222 20160308 20160322
丹野,掛川市・菊川市衛生施設組合環境資源ギャラリー ,月 木,20160401 20160415 20160429 20160513 20160527 20160610 20160624 20160708 20160722 20160805 20160819 20160902 20160916 20160930 20161014 20161028 20161111 20161125 20161209 20161223 20160113 20160127 20160210 20160224 20160310 20160324,20160413 20160427 20160511 20160525 20160608 20160622 20160706 20160720 20160803 20160817 20160831 20160914 20160928 20161012 20161026 20161109 20161123 20161207 20161221 20160111 20160125 20160208 20160222 20160308 20160322
古谷,掛川市・菊川市衛生施設組合環境資源ギャラリー ,月 木,20160401 20160415 20160429 20160513 20160527 20160610 20160624 20160708 20160722 20160805 20160819 20160902 20160916 20160930 20161014 20161028 20161111 20161125 20161209 20161223 20160113 20160127 20160210 20160224 20160310 20160324,20160413 20160427 20160511 20160525 20160608 20160622 20160706 20160720 20160803 20160817 20160831 20160914 20160928 20161012 20161026 20161109 20161123 20161207 20161221 20160111 20160125 20160208 20160222 20160308 20160322
川東,掛川市・菊川市衛生施設組合環境資源ギャラリー ,月 木,20160401 20160415 20160429 20160513 20160527 20160610 20160624 20160708 20160722 20160805 20160819 20160902 20160916 20160930 20161014 20161028 20161111 20161125 20161209 20161223 20160113 20160127 20160210 20160224 20160310 20160324,20160413 20160427 20160511 20160525 20160608 20160622 20160706 20160720 20160803 20160817 20160831 20160914 20160928 20161012 20161026 20161109 20161123 20161207 20161221 20160111 20160125 20160208 20160222 20160308 20160322
川中,掛川市・菊川市衛生施設組合環境資源ギャラリー ,月 木,20160401 20160415 20160429 20160513 20160527 20160610 20160624 20160708 20160722 20160805 20160819 20160902 20160916 20160930 20161014 20161028 20161111 20161125 20161209 20161223 20160113 20160127 20160210 20160224 20160310 20160324,20160413 20160427 20160511 20160525 20160608 20160622 20160706 20160720 20160803 20160817 20160831 20160914 20160928 20161012 20161026 20161109 20161123 20161207 20161221 20160111 20160125 20160208 20160222 20160308 20160322
川西,掛川市・菊川市衛生施設組合環境資源ギャラリー ,月 木,20160401 20160415 20160429 20160513 20160527 20160610 20160624 20160708 20160722 20160805 20160819 20160902 20160916 20160930 20161014 20161028 20161111 20161125 20161209 20161223 20160113 20160127 20160210 20160224 20160310 20160324,20160413 20160427 20160511 20160525 20160608 20160622 20160706 20160720 20160803 20160817 20160831 20160914 20160928 20161012 20161026 20161109 20161123 20161207 20161221 20160111 20160125 20160208 20160222 20160308 20160322
三協,掛川市・菊川市衛生施設組合環境資源ギャラリー ,月 木,20160401 20160415 20160429 20160513 20160527 20160610 20160624 20160708 20160722 20160805 20160819 20160902 20160916 20160930 20161014 20161028 20161111 20161125 20161209 20161223 20160113 20160127 20160210 20160224 20160310 20160324,20160413 20160427 20160511 20160525 20160608 20160622 20160706 20160720 20160803 20160817 20160831 20160914 20160928 20161012 20161026 20161109 20161123 20161207 20161221 20160111 20160125 20160208 20160222 20160308 20160322
棚草,掛川市・菊川市衛生施設組合環境資源ギャラリー ,月 木,20160401 20160415 20160429 20160513 20160527 20160610 20160624 20160708 20160722 20160805 20160819 20160902 20160916 20160930 20161014 20161028 20161111 20161125 20161209 20161223 20160113 20160127 20160210 20160224 20160310 20160324,20160413 20160427 20160511 20160525 20160608 20160622 20160706 20160720 20160803 20160817 20160831 20160914 20160928 20161012 20161026 20161109 20161123 20161207 20161221 20160111 20160125 20160208 20160222 20160308 20160322
赤土上,掛川市・菊川市衛生施設組合環境資源ギャラリー ,月 木,20160401 20160415 20160429 20160513 20160527 20160610 20160624 20160708 20160722 20160805 20160819 20160902 20160916 20160930 20161014 20161028 20161111 20161125 20161209 20161223 20160113 20160127 20160210 20160224 20160310 20160324,20160413 20160427 20160511 20160525 20160608 20160622 20160706 20160720 20160803 20160817 20160831 20160914 20160928 20161012 20161026 20161109 20161123 20161207 20161221 20160111 20160125 20160208 20160222 20160308 20160322
赤土下,掛川市・菊川市衛生施設組合環境資源ギャラリー ,月 木,20160401 20160415 20160429 20160513 20160527 20160610 20160624 20160708 20160722 20160805 20160819 20160902 20160916 20160930 20161014 20161028 20161111 20161125 20161209 20161223 20160113 20160127 20160210 20160224 20160310 20160324,20160413 20160427 20160511 20160525 20160608 20160622 20160706 20160720 20160803 20160817 20160831 20160914 20160928 20161012 20161026 20161109 20161123 20161207 20161221 20160111 20160125 20160208 20160222 20160308 20160322
赤土団地,掛川市・菊川市衛生施設組合環境資源ギャラリー ,月 木,20160401 20160415 20160429 20160513 20160527 20160610 20160624 20160708 20160722 20160805 20160819 20160902 20160916 20160930 20161014 20161028 20161111 20161125 20161209 20161223 20160113 20160127 20160210 20160224 20160310 20160324,20160413 20160427 20160511 20160525 20160608 20160622 20160706 20160720 20160803 20160817 20160831 20160914 20160928 20161012 20161026 20161109 20161123 20161207 20161221 20160111 20160125 20160208 20160222 20160308 20160322
城山下,掛川市・菊川市衛生施設組合環境資源ギャラリー ,月 木,20160401 20160415 20160429 20160513 20160527 20160610 20160624 20160708 20160722 20160805 20160819 20160902 20160916 20160930 20161014 20161028 20161111 20161125 20161209 20161223 20160113 20160127 20160210 20160224 20160310 20160324,20160413 20160427 20160511 20160525 20160608 20160622 20160706 20160720 20160803 20160817 20160831 20160914 20160928 20161012 20161026 20161109 20161123 20161207 20161221 20160111 20160125 20160208 20160222 20160308 20160322
花水木,掛川市・菊川市衛生施設組合環境資源ギャラリー ,月 木,20160401 20160415 20160429 20160513 20160527 20160610 20160624 20160708 20160722 20160805 20160819 20160902 20160916 20160930 20161014 20161028 20161111 20161125 20161209 20161223 20160113 20160127 20160210 20160224 20160310 20160324,20160413 20160427 20160511 20160525 20160608 20160622 20160706 20160720 20160803 20160817 20160831 20160914 20160928 20161012 20161026 20161109 20161123 20161207 20161221 20160111 20160125 20160208 20160222 20160308 20160322
