地名,センター,燃えるごみ,燃えないごみ,資源物
平尾,掛川市・菊川市衛生施設組合環境資源ギャラリー ,火 金,20160407 20160421 20160505 20160519 20160602 20160616 20160630 20160714 20160728 20160811 20160825 20160908 20160922 20161006 20161020 20161103 20161117 20161201 20161215 20161229 20160119 20160202 20160216 20160302 20160316 20160330,20160406 20160420 20160504 20160518 20160601 20160615 20160629 20160713 20160727 20160810 20160824 20160907 20160921 20161005 20161019 20161102 20161116 20161130 20161214 20161228 20160118 20160201 20160215 20160301 20160315 20160329
森,掛川市・菊川市衛生施設組合環境資源ギャラリー ,火 金,20160407 20160421 20160505 20160519 20160602 20160616 20160630 20160714 20160728 20160811 20160825 20160908 20160922 20161006 20161020 20161103 20161117 20161201 20161215 20161229 20160119 20160202 20160216 20160302 20160316 20160330,20160406 20160420 20160504 20160518 20160601 20160615 20160629 20160713 20160727 20160810 20160824 20160907 20160921 20161005 20161019 20161102 20161116 20161130 20161214 20161228 20160118 20160201 20160215 20160301 20160315 20160329
杉森,掛川市・菊川市衛生施設組合環境資源ギャラリー ,火 金,20160407 20160421 20160505 20160519 20160602 20160616 20160630 20160714 20160728 20160811 20160825 20160908 20160922 20161006 20161020 20161103 20161117 20161201 20161215 20161229 20160119 20160202 20160216 20160302 20160316 20160330,20160406 20160420 20160504 20160518 20160601 20160615 20160629 20160713 20160727 20160810 20160824 20160907 20160921 20161005 20161019 20161102 20161116 20161130 20161214 20161228 20160118 20160201 20160215 20160301 20160315 20160329
政所,掛川市・菊川市衛生施設組合環境資源ギャラリー ,火 金,20160407 20160421 20160505 20160519 20160602 20160616 20160630 20160714 20160728 20160811 20160825 20160908 20160922 20161006 20161020 20161103 20161117 20161201 20161215 20161229 20160119 20160202 20160216 20160302 20160316 20160330,20160406 20160420 20160504 20160518 20160601 20160615 20160629 20160713 20160727 20160810 20160824 20160907 20160921 20161005 20161019 20161102 20161116 20161130 20161214 20161228 20160118 20160201 20160215 20160301 20160315 20160329
奥横地,掛川市・菊川市衛生施設組合環境資源ギャラリー ,火 金,20160407 20160421 20160505 20160519 20160602 20160616 20160630 20160714 20160728 20160811 20160825 20160908 20160922 20161006 20161020 20161103 20161117 20161201 20161215 20161229 20160119 20160202 20160216 20160302 20160316 20160330,20160406 20160420 20160504 20160518 20160601 20160615 20160629 20160713 20160727 20160810 20160824 20160907 20160921 20161005 20161019 20161102 20161116 20161130 20161214 20161228 20160118 20160201 20160215 20160301 20160315 20160329
段横地,掛川市・菊川市衛生施設組合環境資源ギャラリー ,火 金,20160407 20160421 20160505 20160519 20160602 20160616 20160630 20160714 20160728 20160811 20160825 20160908 20160922 20161006 20161020 20161103 20161117 20161201 20161215 20161229 20160119 20160202 20160216 20160302 20160316 20160330,20160406 20160420 20160504 20160518 20160601 20160615 20160629 20160713 20160727 20160810 20160824 20160907 20160921 20161005 20161019 20161102 20161116 20161130 20161214 20161228 20160118 20160201 20160215 20160301 20160315 20160329
川島,掛川市・菊川市衛生施設組合環境資源ギャラリー ,火 金,20160407 20160421 20160505 20160519 20160602 20160616 20160630 20160714 20160728 20160811 20160825 20160908 20160922 20161006 20161020 20161103 20161117 20161201 20161215 20161229 20160119 20160202 20160216 20160302 20160316 20160330,20160406 20160420 20160504 20160518 20160601 20160615 20160629 20160713 20160727 20160810 20160824 20160907 20160921 20161005 20161019 20161102 20161116 20161130 20161214 20161228 20160118 20160201 20160215 20160301 20160315 20160329
西横地,掛川市・菊川市衛生施設組合環境資源ギャラリー ,火 金,20160407 20160421 20160505 20160519 20160602 20160616 20160630 20160714 20160728 20160811 20160825 20160908 20160922 20161006 20161020 20161103 20161117 20161201 20161215 20161229 20160119 20160202 20160216 20160302 20160316 20160330,20160406 20160420 20160504 20160518 20160601 20160615 20160629 20160713 20160727 20160810 20160824 20160907 20160921 20161005 20161019 20161102 20161116 20161130 20161214 20161228 20160118 20160201 20160215 20160301 20160315 20160329
土橋,掛川市・菊川市衛生施設組合環境資源ギャラリー ,火 金,20160407 20160421 20160505 20160519 20160602 20160616 20160630 20160714 20160728 20160811 20160825 20160908 20160922 20161006 20161020 20161103 20161117 20161201 20161215 20161229 20160119 20160202 20160216 20160302 20160316 20160330,20160406 20160420 20160504 20160518 20160601 20160615 20160629 20160713 20160727 20160810 20160824 20160907 20160921 20161005 20161019 20161102 20161116 20161130 20161214 20161228 20160118 20160201 20160215 20160301 20160315 20160329
奈良野,掛川市・菊川市衛生施設組合環境資源ギャラリー ,火 金,20160407 20160421 20160505 20160519 20160602 20160616 20160630 20160714 20160728 20160811 20160825 20160908 20160922 20161006 20161020 20161103 20161117 20161201 20161215 20161229 20160119 20160202 20160216 20160302 20160316 20160330,20160406 20160420 20160504 20160518 20160601 20160615 20160629 20160713 20160727 20160810 20160824 20160907 20160921 20161005 20161019 20161102 20161116 20161130 20161214 20161228 20160118 20160201 20160215 20160301 20160315 20160329
三沢,掛川市・菊川市衛生施設組合環境資源ギャラリー ,火 金,20160407 20160421 20160505 20160519 20160602 20160616 20160630 20160714 20160728 20160811 20160825 20160908 20160922 20161006 20161020 20161103 20161117 20161201 20161215 20161229 20160119 20160202 20160216 20160302 20160316 20160330,20160406 20160420 20160504 20160518 20160601 20160615 20160629 20160713 20160727 20160810 20160824 20160907 20160921 20161005 20161019 20161102 20161116 20161130 20161214 20161228 20160118 20160201 20160215 20160301 20160315 20160329
星ヶ丘,掛川市・菊川市衛生施設組合環境資源ギャラリー ,火 金,20160407 20160421 20160505 20160519 20160602 20160616 20160630 20160714 20160728 20160811 20160825 20160908 20160922 20161006 20161020 20161103 20161117 20161201 20161215 20161229 20160119 20160202 20160216 20160302 20160316 20160330,20160406 20160420 20160504 20160518 20160601 20160615 20160629 20160713 20160727 20160810 20160824 20160907 20160921 20161005 20161019 20161102 20161116 20161130 20161214 20161228 20160118 20160201 20160215 20160301 20160315 20160329
横地雇用促進,掛川市・菊川市衛生施設組合環境資源ギャラリー ,火 金,20160407 20160421 20160505 20160519 20160602 20160616 20160630 20160714 20160728 20160811 20160825 20160908 20160922 20161006 20161020 20161103 20161117 20161201 20161215 20161229 20160119 20160202 20160216 20160302 20160316 20160330,20160406 20160420 20160504 20160518 20160601 20160615 20160629 20160713 20160727 20160810 20160824 20160907 20160921 20161005 20161019 20161102 20161116 20161130 20161214 20161228 20160118 20160201 20160215 20160301 20160315 20160329
五丁目上,掛川市・菊川市衛生施設組合環境資源ギャラリー ,月 木,20160408 20160422 20160506 20160520 20160603 20160617 20160701 20160715 20160729 20160812 20160826 20160909 20160923 20161007 20161021 20161104 20161118 20161202 20161216 20161230 20160120 20160203 20160217 20160303 20160317 20160331,20160412 20160426 20160510 20160524 20160607 20160621 20160705 20160719 20160802 20160816 20160830 20160913 20160927 20161011 20161025 20161108 20161122 20161206 20161220 20160110 20160124 20160207 20160221 20160307 20160321
五丁目下,掛川市・菊川市衛生施設組合環境資源ギャラリー ,月 木,20160408 20160422 20160506 20160520 20160603 20160617 20160701 20160715 20160729 20160812 20160826 20160909 20160923 20161007 20161021 20161104 20161118 20161202 20161216 20161230 20160120 20160203 20160217 20160303 20160317 20160331,20160412 20160426 20160510 20160524 20160607 20160621 20160705 20160719 20160802 20160816 20160830 20160913 20160927 20161011 20161025 20161108 20161122 20161206 20161220 20160110 20160124 20160207 20160221 20160307 20160321
打上,掛川市・菊川市衛生施設組合環境資源ギャラリー ,月 木,20160408 20160422 20160506 20160520 20160603 20160617 20160701 20160715 20160729 20160812 20160826 20160909 20160923 20161007 20161021 20161104 20161118 20161202 20161216 20161230 20160120 20160203 20160217 20160303 20160317 20160331,20160412 20160426 20160510 20160524 20160607 20160621 20160705 20160719 20160802 20160816 20160830 20160913 20160927 20161011 20161025 20161108 20161122 20161206 20161220 20160110 20160124 20160207 20160221 20160307 20160321
島,掛川市・菊川市衛生施設組合環境資源ギャラリー ,月 木,20160408 20160422 20160506 20160520 20160603 20160617 20160701 20160715 20160729 20160812 20160826 20160909 20160923 20161007 20161021 20161104 20161118 20161202 20161216 20161230 20160120 20160203 20160217 20160303 20160317 20160331,20160412 20160426 20160510 20160524 20160607 20160621 20160705 20160719 20160802 20160816 20160830 20160913 20160927 20161011 20161025 20161108 20161122 20161206 20161220 20160110 20160124 20160207 20160221 20160307 20160321
下本所,掛川市・菊川市衛生施設組合環境資源ギャラリー ,月 木,20160408 20160422 20160506 20160520 20160603 20160617 20160701 20160715 20160729 20160812 20160826 20160909 20160923 20161007 20161021 20161104 20161118 20161202 20161216 20161230 20160120 20160203 20160217 20160303 20160317 20160331,20160412 20160426 20160510 20160524 20160607 20160621 20160705 20160719 20160802 20160816 20160830 20160913 20160927 20161011 20161025 20161108 20161122 20161206 20161220 20160110 20160124 20160207 20160221 20160307 20160321
下半済,掛川市・菊川市衛生施設組合環境資源ギャラリー ,月 木,20160408 20160422 20160506 20160520 20160603 20160617 20160701 20160715 20160729 20160812 20160826 20160909 20160923 20161007 20161021 20161104 20161118 20161202 20161216 20161230 20160120 20160203 20160217 20160303 20160317 20160331,20160412 20160426 20160510 20160524 20160607 20160621 20160705 20160719 20160802 20160816 20160830 20160913 20160927 20161011 20161025 20161108 20161122 20161206 20161220 20160110 20160124 20160207 20160221 20160307 20160321
小出,掛川市・菊川市衛生施設組合環境資源ギャラリー ,月 木,20160408 20160422 20160506 20160520 20160603 20160617 20160701 20160715 20160729 20160812 20160826 20160909 20160923 20161007 20161021 20161104 20161118 20161202 20161216 20161230 20160120 20160203 20160217 20160303 20160317 20160331,20160412 20160426 20160510 20160524 20160607 20160621 20160705 20160719 20160802 20160816 20160830 20160913 20160927 20161011 20161025 20161108 20161122 20161206 20161220 20160110 20160124 20160207 20160221 20160307 20160321
